 Total battles: 46297
 Avg. weight/team: 0.089
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 | 322  | Thievul            |  0.00003% | 25     |  0.027% | 18     |  0.024% | 
 | 323  | Regice             |  0.00003% | 48     |  0.052% | 35     |  0.046% | 
 | 324  | Spiritomb          |  0.00003% | 262    |  0.283% | 230    |  0.303% | 
 | 325  | Raichu             |  0.00003% | 396    |  0.428% | 279    |  0.368% | 
 | 326  | Beartic            |  0.00003% | 111    |  0.120% | 82     |  0.108% | 
 | 327  | Cramorant          |  0.00003% | 98     |  0.106% | 77     |  0.102% | 
 | 328  | Morpeko            |  0.00003% | 87     |  0.094% | 67     |  0.088% | 
 | 329  | Klinklang          |  0.00002% | 51     |  0.055% | 37     |  0.049% | 
 | 330  | Bewear             |  0.00002% | 85     |  0.092% | 66     |  0.087% | 
 | 331  | Munchlax           |  0.00002% | 7      |  0.008% | 6      |  0.008% | 
 | 332  | Alcremie           |  0.00002% | 27     |  0.029% | 23     |  0.030% | 
 | 333  | Bellossom          |  0.00002% | 73     |  0.079% | 52     |  0.069% | 
 | 334  | Cherrim            |  0.00002% | 10     |  0.011% | 6      |  0.008% | 
 | 335  | Tangela            |  0.00002% | 53     |  0.057% | 46     |  0.061% | 
 | 336  | Stonjourner        |  0.00002% | 8      |  0.009% | 5      |  0.007% | 
 | 337  | Togetic            |  0.00002% | 8      |  0.009% | 7      |  0.009% | 
 | 338  | Wooper             |  0.00002% | 4      |  0.004% | 4      |  0.005% | 
 | 339  | Hitmonchan         |  0.00002% | 84     |  0.091% | 59     |  0.078% | 
 | 340  | Rotom-Fan          |  0.00002% | 9      |  0.010% | 8      |  0.011% | 
 | 341  | Duraludon          |  0.00002% | 88     |  0.095% | 65     |  0.086% | 
 | 342  | Dedenne            |  0.00002% | 42     |  0.045% | 38     |  0.050% | 
 | 343  | Sneasel            |  0.00001% | 13     |  0.014% | 10     |  0.013% | 
 | 344  | Lycanroc-Midnight  |  0.00001% | 49     |  0.053% | 36     |  0.047% | 
 | 345  | Rotom              |  0.00001% | 30     |  0.032% | 22     |  0.029% | 
 | 346  | Centiskorch        |  0.00001% | 205    |  0.221% | 156    |  0.206% | 
 | 347  | Grapploct          |  0.00001% | 32     |  0.035% | 25     |  0.033% | 
 | 348  | Cinccino           |  0.00001% | 60     |  0.065% | 46     |  0.061% | 
 | 349  | Rapidash           |  0.00001% | 39     |  0.042% | 32     |  0.042% | 
 | 350  | Vespiquen          |  0.00001% | 74     |  0.080% | 32     |  0.042% | 
 | 351  | Dunsparce          |  0.00001% | 57     |  0.062% | 48     |  0.063% | 
 | 352  | Corphish           |  0.00001% | 14     |  0.015% | 9      |  0.012% | 
 | 353  | Hitmonlee          |  0.00001% | 60     |  0.065% | 45     |  0.059% | 
 | 354  | Dubwool            |  0.00001% | 76     |  0.082% | 63     |  0.083% | 
 | 355  | Corsola            |  0.00001% | 10     |  0.011% | 9      |  0.012% | 
 | 356  | Solrock            |  0.00001% | 11     |  0.012% | 11     |  0.015% | 
 | 357  | Flareon            |  0.00001% | 84     |  0.091% | 58     |  0.076% | 
 | 358  | Octillery          |  0.00000% | 12     |  0.013% | 8      |  0.011% | 
 | 359  | Relicanth          |  0.00000% | 23     |  0.025% | 23     |  0.030% | 
 | 360  | Mesprit            |  0.00000% | 12     |  0.013% | 8      |  0.011% | 
 | 361  | Escavalier         |  0.00000% | 94     |  0.102% | 80     |  0.105% | 
 | 362  | Golbat             |  0.00000% | 51     |  0.055% | 33     |  0.044% | 
 | 363  | Palossand          |  0.00000% | 69     |  0.075% | 55     |  0.073% | 
 | 364  | Barbaracle         |  0.00000% | 50     |  0.054% | 38     |  0.050% | 
 | 365  | Silvally-Water     |  0.00000% | 9      |  0.010% | 6      |  0.008% | 
 | 366  | Poliwag            |  0.00000% | 5      |  0.005% | 4      |  0.005% | 
 | 367  | Mr. Mime-Galar     |  0.00000% | 15     |  0.016% | 11     |  0.015% | 
 | 368  | Maractus           |  0.00000% | 5      |  0.005% | 4      |  0.005% | 
 | 369  | Sawk               |  0.00000% | 64     |  0.069% | 41     |  0.054% | 
 | 370  | Passimian          |  0.00000% | 12     |  0.013% | 9      |  0.012% | 
 | 371  | Sudowoodo          |  0.00000% | 9      |  0.010% | 8      |  0.011% | 
 | 372  | Clefairy           |  0.00000% | 10     |  0.011% | 7      |  0.009% | 
 | 373  | Basculin           |  0.00000% | 84     |  0.091% | 62     |  0.082% | 
 | 374  | Swoobat            |  0.00000% | 57     |  0.062% | 45     |  0.059% | 
 | 375  | Growlithe          |  0.00000% | 12     |  0.013% | 5      |  0.007% | 
 | 376  | Eldegoss           |  0.00000% | 42     |  0.045% | 30     |  0.040% | 
 | 377  | Sliggoo            |  0.00000% | 14     |  0.015% | 11     |  0.015% | 
 | 378  | Perrserker         |  0.00000% | 23     |  0.025% | 17     |  0.022% | 
 | 379  | Articuno           |  0.00000% | 37     |  0.040% | 28     |  0.037% | 
 | 380  | Greedent           |  0.00000% | 22     |  0.024% | 20     |  0.026% | 
 | 381  | Vulpix-Alola       |  0.00000% | 3      |  0.003% | 3      |  0.004% | 
 | 382  | Oranguru           |  0.00000% | 13     |  0.014% | 8      |  0.011% | 
 | 383  | Persian            |  0.00000% | 42     |  0.045% | 26     |  0.034% | 
 | 384  | Meowstic           |  0.00000% | 22     |  0.024% | 15     |  0.020% | 
 | 385  | Torracat           |  0.00000% | 7      |  0.008% | 6      |  0.008% | 
 | 386  | Roselia            |  0.00000% | 15     |  0.016% | 13     |  0.017% | 
 | 387  | Magneton           |  0.00000% | 73     |  0.079% | 62     |  0.082% | 
 | 388  | Jigglypuff         |  0.00000% | 6      |  0.006% | 5      |  0.007% | 
 | 389  | Gourgeist          |  0.00000% | 8      |  0.009% | 7      |  0.009% | 
 | 390  | Slowpoke-Galar     |  0.00000% | 2      |  0.002% | 2      |  0.003% | 
 | 391  | Coalossal          |  0.00000% | 72     |  0.078% | 59     |  0.078% | 
 | 392  | Ralts              |  0.00000% | 10     |  0.011% | 8      |  0.011% | 
 | 393  | Lunatone           |  0.00000% | 10     |  0.011% | 9      |  0.012% | 
 | 394  | Magnemite          |  0.00000% | 18     |  0.019% | 15     |  0.020% | 
 | 395  | Haunter            |  0.00000% | 24     |  0.026% | 11     |  0.015% | 
 | 396  | Gourgeist-Small    |  0.00000% | 13     |  0.014% | 9      |  0.012% | 
 | 397  | Kadabra            |  0.00000% | 3      |  0.003% | 1      |  0.001% | 
 | 398  | Wynaut             |  0.00000% | 11     |  0.012% | 11     |  0.015% | 
 | 399  | Treecko            |  0.00000% | 14     |  0.015% | 8      |  0.011% | 
 | 400  | Bagon              |  0.00000% | 2      |  0.002% | 1      |  0.001% | 
 | 401  | Stoutland          |  0.00000% | 6      |  0.006% | 4      |  0.005% | 
 | 402  | Swirlix            |  0.00000% | 20     |  0.022% | 20     |  0.026% | 
 | 403  | Barboach           |  0.00000% | 5      |  0.005% | 4      |  0.005% | 
 | 404  | Mareanie           |  0.00000% | 6      |  0.006% | 5      |  0.007% | 
 | 405  | Garbodor           |  0.00000% | 22     |  0.024% | 14     |  0.018% | 
 | 406  | Frosmoth           |  0.00000% | 55     |  0.059% | 40     |  0.053% | 
 | 407  | Charmander         |  0.00000% | 16     |  0.017% | 14     |  0.018% | 
 | 408  | Tympole            |  0.00000% | 8      |  0.009% | 7      |  0.009% | 
 | 409  | Aromatisse         |  0.00000% | 29     |  0.031% | 24     |  0.032% | 
 | 410  | Hakamo-o           |  0.00000% | 12     |  0.013% | 11     |  0.015% | 
 | 411  | Ferroseed          |  0.00000% | 2      |  0.002% | 2      |  0.003% | 
 | 412  | Mime Jr.           |  0.00000% | 10     |  0.011% | 10     |  0.013% | 
 | 413  | Scorbunny          |  0.00000% | 8      |  0.009% | 3      |  0.004% | 
 | 414  | Exeggutor          |  0.00000% | 60     |  0.065% | 45     |  0.059% | 
 | 415  | Miltank            |  0.00000% | 39     |  0.042% | 13     |  0.017% | 
 | 416  | Pumpkaboo-Small    |  0.00000% | 2      |  0.002% | 2      |  0.003% | 
 | 417  | Bulbasaur          |  0.00000% | 12     |  0.013% | 11     |  0.015% | 
 | 418  | Silvally-Fighting  |  0.00000% | 2      |  0.002% | 1      |  0.001% | 
 | 419  | Gourgeist-Large    |  0.00000% | 5      |  0.005% | 5      |  0.007% | 
 | 420  | Drifblim           |  0.00000% | 32     |  0.035% | 27     |  0.036% | 
 | 421  | Unfezant           |  0.00000% | 23     |  0.025% | 18     |  0.024% | 
 | 422  | Marill             |  0.00000% | 2      |  0.002% | 2      |  0.003% | 
 | 423  | Manectric          |  0.00000% | 20     |  0.022% | 14     |  0.018% | 
 | 424  | Silvally-Flying    |  0.00000% | 17     |  0.018% | 16     |  0.021% | 
 | 425  | Silvally-Steel     |  0.00000% | 23     |  0.025% | 18     |  0.024% | 
 | 426  | Magmar             |  0.00000% | 11     |  0.012% | 9      |  0.012% | 
 | 427  | Magikarp           |  0.00000% | 10     |  0.011% | 9      |  0.012% | 
 | 428  | Rhydon             |  0.00000% | 38     |  0.041% | 29     |  0.038% | 
 | 429  | Dwebble            |  0.00000% | 7      |  0.008% | 7      |  0.009% | 
 | 430  | Natu               |  0.00000% | 4      |  0.004% | 4      |  0.005% | 
 | 431  | Delibird           |  0.00000% | 13     |  0.014% | 10     |  0.013% | 
 | 432  | Pichu              |  0.00000% | 3      |  0.003% | 2      |  0.003% | 
 | 433  | Togepi             |  0.00000% | 1      |  0.001% | 1      |  0.001% | 
 | 434  | Foongus            |  0.00000% | 1      |  0.001% | 1      |  0.001% | 
 | 435  | Cleffa             |  0.00000% | 1      |  0.001% | 1      |  0.001% | 
 | 436  | Sinistea           |  0.00000% | 3      |  0.003% | 3      |  0.004% | 
 | 437  | Thwackey           |  0.00000% | 8      |  0.009% | 4      |  0.005% | 
 | 438  | Toxel              |  0.00000% | 2      |  0.002% | 1      |  0.001% | 
 | 439  | Rowlet             |  0.00000% | 3      |  0.003% | 2      |  0.003% | 
 | 440  | Impidimp           |  0.00000% | 1      |  0.001% | 1      |  0.001% | 
 | 441  | Seaking            |  0.00000% | 9      |  0.010% | 5      |  0.007% | 
 | 442  | Silvally-Ice       |  0.00000% | 6      |  0.006% | 4      |  0.005% | 
 | 443  | Palpitoad          |  0.00000% | 1      |  0.001% | 1      |  0.001% | 
 | 444  | Silvally-Dragon    |  0.00000% | 7      |  0.008% | 7      |  0.009% | 
 | 445  | Glalie             |  0.00000% | 7      |  0.008% | 7      |  0.009% | 
 | 446  | Persian-Alola      |  0.00000% | 21     |  0.023% | 17     |  0.022% | 
 | 447  | Gurdurr            |  0.00000% | 3      |  0.003% | 1      |  0.001% | 
 | 448  | Silvally-Fire      |  0.00000% | 7      |  0.008% | 3      |  0.004% | 
 | 449  | Noctowl            |  0.00000% | 20     |  0.022% | 12     |  0.016% | 
 | 450  | Piloswine          |  0.00000% | 7      |  0.008% | 7      |  0.009% | 
 | 451  | Lickitung          |  0.00000% | 6      |  0.006% | 6      |  0.008% | 
 | 452  | Phantump           |  0.00000% | 4      |  0.004% | 4      |  0.005% | 
 | 453  | Morgrem            |  0.00000% | 6      |  0.006% | 6      |  0.008% | 
 | 454  | Yamper             |  0.00000% | 4      |  0.004% | 4      |  0.005% | 
 | 455  | Throh              |  0.00000% | 13     |  0.014% | 11     |  0.015% | 
 | 456  | Virizion           |  0.00000% | 8      |  0.009% | 6      |  0.008% | 
 | 457  | Calyrex            |  0.00000% | 7      |  0.008% | 4      |  0.005% | 
 | 458  | Skuntank           |  0.00000% | 2      |  0.002% | 1      |  0.001% | 
 | 459  | Squirtle           |  0.00000% | 8      |  0.009% | 7      |  0.009% | 
 | 460  | Caterpie           |  0.00000% | 4      |  0.004% | 3      |  0.004% | 
 | 461  | Charjabug          |  0.00000% | 19     |  0.021% | 17     |  0.022% | 
 | 462  | Gloom              |  0.00000% | 1      |  0.001% | 1      |  0.001% | 
 | 463  | Goomy              |  0.00000% | 1      |  0.001% | 1      |  0.001% | 
 | 464  | Grubbin            |  0.00000% | 1      |  0.001% | 1      |  0.001% | 
 | 465  | Zorua              |  0.00000% | 4      |  0.004% | 2      |  0.003% | 
 | 466  | Hippopotas         |  0.00000% | 7      |  0.008% | 6      |  0.008% | 
 | 467  | Herdier            |  0.00000% | 1      |  0.001% | 1      |  0.001% | 
 | 468  | Cutiefly           |  0.00000% | 2      |  0.002% | 2      |  0.003% | 
 | 469  | Minccino           |  0.00000% | 1      |  0.001% | 1      |  0.001% | 
 | 470  | Nickit             |  0.00000% | 1      |  0.001% | 1      |  0.001% | 
 | 471  | Applin             |  0.00000% | 1      |  0.001% | 0      |  0.000% | 
 | 472  | Dottler            |  0.00000% | 6      |  0.006% | 6      |  0.008% | 
 | 473  | Anorith            |  0.00000% | 1      |  0.001% | 1      |  0.001% | 
 | 474  | Fletchinder        |  0.00000% | 3      |  0.003% | 3      |  0.004% | 
 | 475  | Snom               |  0.00000% | 1      |  0.001% | 1      |  0.001% | 
 | 476  | Farfetch'd         |  0.00000% | 3      |  0.003% | 2      |  0.003% | 
 | 477  | Type: Null         |  0.00000% | 12     |  0.013% | 9      |  0.012% | 
 | 478  | Heatmor            |  0.00000% | 5      |  0.005% | 4      |  0.005% | 
 | 479  | Drakloak           |  0.00000% | 1      |  0.001% | 1      |  0.001% | 
 | 480  | Onix               |  0.00000% | 11     |  0.012% | 8      |  0.011% | 
 | 481  | Poipole            |  0.00000% | 9      |  0.010% | 7      |  0.009% | 
 | 482  | Silvally-Poison    |  0.00000% | 2      |  0.002% | 2      |  0.003% | 
 | 483  | Mantyke            |  0.00000% | 3      |  0.003% | 3      |  0.004% | 
 | 484  | Bonsly             |  0.00000% | 3      |  0.003% | 1      |  0.001% | 
 | 485  | Budew              |  0.00000% | 3      |  0.003% | 1      |  0.001% | 
 | 486  | Machoke            |  0.00000% | 2      |  0.002% | 2      |  0.003% | 
 | 487  | Bunnelby           |  0.00000% | 1      |  0.001% | 1      |  0.001% | 
 | 488  | Sizzlipede         |  0.00000% | 2      |  0.002% | 2      |  0.003% | 
 | 489  | Yamask             |  0.00000% | 1      |  0.001% | 1      |  0.001% | 
 | 490  | Pidove             |  0.00000% | 2      |  0.002% | 1      |  0.001% | 
 | 491  | Abra               |  0.00000% | 2      |  0.002% | 0      |  0.000% | 
 | 492  | Dartrix            |  0.00000% | 3      |  0.003% | 3      |  0.004% | 
 | 493  | Tyrunt             |  0.00000% | 2      |  0.002% | 2      |  0.003% | 
 | 494  | Silvally-Grass     |  0.00000% | 18     |  0.019% | 13     |  0.017% | 
 | 495  | Lairon             |  0.00000% | 1      |  0.001% | 1      |  0.001% | 
 | 496  | Petilil            |  0.00000% | 1      |  0.001% | 1      |  0.001% | 
 | 497  | NidoranF           |  0.00000% | 1      |  0.001% | 1      |  0.001% | 
 | 498  | Vibrava            |  0.00000% | 1      |  0.001% | 1      |  0.001% | 
 | 499  | Whiscash           |  0.00000% | 4      |  0.004% | 4      |  0.005% | 
 | 500  | Koffing            |  0.00000% | 3      |  0.003% | 3      |  0.004% | 
 | 501  | Vulpix             |  0.00000% | 2      |  0.002% | 2      |  0.003% | 
 | 502  | Hattrem            |  0.00000% | 3      |  0.003% | 2      |  0.003% | 
 | 503  | Wooloo             |  0.00000% | 5      |  0.005% | 3      |  0.004% | 
 | 504  | Silvally-Rock      |  0.00000% | 8      |  0.009% | 4      |  0.005% | 
 | 505  | Drifloon           |  0.00000% | 5      |  0.005% | 5      |  0.007% | 
 | 506  | Feebas             |  0.00000% | 2      |  0.002% | 2      |  0.003% | 
 | 507  | Cosmoem            |  0.00000% | 1      |  0.001% | 1      |  0.001% | 
 | 508  | Charmeleon         |  0.00000% | 2      |  0.002% | 2      |  0.003% | 
 | 509  | Meowth-Galar       |  0.00000% | 1      |  0.001% | 1      |  0.001% | 
 | 510  | Blipbug            |  0.00000% | 5      |  0.005% | 4      |  0.005% | 
 | 511  | Solosis            |  0.00000% | 1      |  0.001% | 1      |  0.001% | 
 | 512  | Duosion            |  0.00000% | 1      |  0.001% | 1      |  0.001% | 
 | 513  | Cosmog             |  0.00000% | 1      |  0.001% | 0      |  0.000% | 
 | 514  | Archen             |  0.00000% | 1      |  0.001% | 1      |  0.001% | 
 | 515  | Dragonair          |  0.00000% | 2      |  0.002% | 2      |  0.003% | 
 | 516  | Shelgon            |  0.00000% | 1      |  0.001% | 0      |  0.000% | 
 | 517  | Spheal             |  0.00000% | 1      |  0.001% | 1      |  0.001% | 
 | 518  | Whirlipede         |  0.00000% | 1      |  0.001% | 1      |  0.001% | 
 | 519  | Oddish             |  0.00000% | 1      |  0.001% | 1      |  0.001% | 
 | 520  | Azurill            |  0.00000% | 1      |  0.001% | 1      |  0.001% | 
 | 521  | Nincada            |  0.00000% | 1      |  0.001% | 1      |  0.001% | 
 | 522  | Yamask-Galar       |  0.00000% | 4      |  0.004% | 4      |  0.005% | 
 | 523  | Roggenrola         |  0.00000% | 3      |  0.003% | 3      |  0.004% | 
 | 524  | Fraxure            |  0.00000% | 2      |  0.002% | 2      |  0.003% | 
 | 525  | Elekid             |  0.00000% | 1      |  0.001% | 0      |  0.000% | 
 | 526  | Mudkip             |  0.00000% | 1      |  0.001% | 0      |  0.000% | 
 | 527  | Tyrogue            |  0.00000% | 1      |  0.001% | 1      |  0.001% | 
 | 528  | Litwick            |  0.00000% | 1      |  0.001% | 0      |  0.000% | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
