 Total battles: 111042
 Avg. weight/team: 0.62
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 | 316  | Steelix            |  0.03354% | 197    |  0.089% | 168    |  0.095% | 
 | 317  | Rhydon             |  0.03338% | 164    |  0.074% | 123    |  0.070% | 
 | 318  | Exeggutor          |  0.03306% | 209    |  0.094% | 143    |  0.081% | 
 | 319  | Pangoro            |  0.03242% | 223    |  0.100% | 155    |  0.088% | 
 | 320  | Ursaring           |  0.03165% | 220    |  0.099% | 169    |  0.096% | 
 | 321  | Samurott           |  0.03134% | 316    |  0.142% | 256    |  0.145% | 
 | 322  | Mimikyu-Totem      |  0.03054% | 46     |  0.021% | 34     |  0.019% | 
 | 323  | Medicham           |  0.03047% | 172    |  0.077% | 135    |  0.077% | 
 | 324  | Golurk             |  0.03023% | 373    |  0.168% | 283    |  0.161% | 
 | 325  | Lickilicky         |  0.03011% | 149    |  0.067% | 124    |  0.070% | 
 | 326  | Aron               |  0.02990% | 326    |  0.147% | 260    |  0.148% | 
 | 327  | Flareon            |  0.02957% | 317    |  0.143% | 243    |  0.138% | 
 | 328  | Pyroar             |  0.02949% | 172    |  0.077% | 125    |  0.071% | 
 | 329  | Emolga             |  0.02921% | 286    |  0.129% | 243    |  0.138% | 
 | 330  | Kingler            |  0.02884% | 281    |  0.127% | 196    |  0.111% | 
 | 331  | Scrafty            |  0.02871% | 526    |  0.237% | 398    |  0.226% | 
 | 332  | Skuntank           |  0.02825% | 82     |  0.037% | 54     |  0.031% | 
 | 333  | Electrode          |  0.02819% | 274    |  0.123% | 235    |  0.134% | 
 | 334  | Rotom-Frost        |  0.02818% | 121    |  0.054% | 97     |  0.055% | 
 | 335  | Poliwrath          |  0.02785% | 161    |  0.072% | 126    |  0.072% | 
 | 336  | Regice             |  0.02733% | 137    |  0.062% | 110    |  0.063% | 
 | 337  | Beheeyem           |  0.02726% | 99     |  0.045% | 67     |  0.038% | 
 | 338  | Armaldo            |  0.02656% | 190    |  0.086% | 153    |  0.087% | 
 | 339  | Bruxish            |  0.02585% | 118    |  0.053% | 82     |  0.047% | 
 | 340  | Clawitzer          |  0.02570% | 240    |  0.108% | 190    |  0.108% | 
 | 341  | Marowak            |  0.02495% | 78     |  0.035% | 63     |  0.036% | 
 | 342  | Lycanroc-Midnight  |  0.02457% | 329    |  0.148% | 278    |  0.158% | 
 | 343  | Dugtrio-Alola      |  0.02435% | 112    |  0.050% | 96     |  0.055% | 
 | 344  | Liepard            |  0.02435% | 346    |  0.156% | 270    |  0.153% | 
 | 345  | Roselia            |  0.02429% | 413    |  0.186% | 319    |  0.181% | 
 | 346  | Torterra           |  0.02371% | 356    |  0.160% | 284    |  0.161% | 
 | 347  | Lanturn            |  0.02357% | 669    |  0.301% | 478    |  0.272% | 
 | 348  | Mr. Mime           |  0.02355% | 157    |  0.071% | 118    |  0.067% | 
 | 349  | Tangela            |  0.02314% | 112    |  0.050% | 77     |  0.044% | 
 | 350  | Diancie            |  0.02259% | 78     |  0.035% | 69     |  0.039% | 
 | 351  | Audino-Mega        |  0.02241% | 274    |  0.123% | 210    |  0.119% | 
 | 352  | Taillow            |  0.02225% | 84     |  0.038% | 51     |  0.029% | 
 | 353  | Froakie            |  0.02177% | 34     |  0.015% | 31     |  0.018% | 
 | 354  | Sharpedo           |  0.02173% | 210    |  0.095% | 171    |  0.097% | 
 | 355  | Magnemite          |  0.02138% | 179    |  0.081% | 118    |  0.067% | 
 | 356  | Silvally-Steel     |  0.02125% | 66     |  0.030% | 54     |  0.031% | 
 | 357  | Emboar             |  0.02120% | 291    |  0.131% | 241    |  0.137% | 
 | 358  | Sawsbuck           |  0.02118% | 204    |  0.092% | 139    |  0.079% | 
 | 359  | Probopass          |  0.02112% | 124    |  0.056% | 112    |  0.064% | 
 | 360  | Aromatisse         |  0.02060% | 45     |  0.020% | 35     |  0.020% | 
 | 361  | Dedenne            |  0.02053% | 152    |  0.068% | 112    |  0.064% | 
 | 362  | Crustle            |  0.02033% | 296    |  0.133% | 222    |  0.126% | 
 | 363  | Gogoat             |  0.01964% | 102    |  0.046% | 79     |  0.045% | 
 | 364  | Cacturne           |  0.01930% | 132    |  0.059% | 94     |  0.053% | 
 | 365  | Sawk               |  0.01928% | 99     |  0.045% | 59     |  0.034% | 
 | 366  | Silvally-Dragon    |  0.01914% | 51     |  0.023% | 43     |  0.024% | 
 | 367  | Swanna             |  0.01902% | 67     |  0.030% | 55     |  0.031% | 
 | 368  | Golbat             |  0.01885% | 157    |  0.071% | 125    |  0.071% | 
 | 369  | Magcargo           |  0.01852% | 116    |  0.052% | 103    |  0.059% | 
 | 370  | Magmortar          |  0.01844% | 220    |  0.099% | 175    |  0.099% | 
 | 371  | Butterfree         |  0.01826% | 205    |  0.092% | 147    |  0.084% | 
 | 372  | Klinklang          |  0.01816% | 127    |  0.057% | 102    |  0.058% | 
 | 373  | Vanilluxe          |  0.01813% | 233    |  0.105% | 193    |  0.110% | 
 | 374  | Jumpluff           |  0.01776% | 127    |  0.057% | 111    |  0.063% | 
 | 375  | Murkrow            |  0.01770% | 227    |  0.102% | 159    |  0.090% | 
 | 376  | Weezing            |  0.01714% | 279    |  0.126% | 217    |  0.123% | 
 | 377  | Articuno           |  0.01713% | 141    |  0.063% | 95     |  0.054% | 
 | 378  | Dustox             |  0.01668% | 44     |  0.020% | 24     |  0.014% | 
 | 379  | Dodrio             |  0.01665% | 164    |  0.074% | 121    |  0.069% | 
 | 380  | Ninjask            |  0.01657% | 160    |  0.072% | 119    |  0.068% | 
 | 381  | Hariyama           |  0.01633% | 118    |  0.053% | 104    |  0.059% | 
 | 382  | Ampharos           |  0.01596% | 191    |  0.086% | 168    |  0.095% | 
 | 383  | Plusle             |  0.01584% | 65     |  0.029% | 51     |  0.029% | 
 | 384  | Tauros             |  0.01572% | 159    |  0.072% | 127    |  0.072% | 
 | 385  | Riolu              |  0.01534% | 49     |  0.022% | 26     |  0.015% | 
 | 386  | Regirock           |  0.01482% | 85     |  0.038% | 75     |  0.043% | 
 | 387  | Regigigas          |  0.01467% | 138    |  0.062% | 117    |  0.066% | 
 | 388  | Virizion           |  0.01435% | 49     |  0.022% | 40     |  0.023% | 
 | 389  | Sandslash          |  0.01434% | 91     |  0.041% | 73     |  0.041% | 
 | 390  | Simisage           |  0.01419% | 37     |  0.017% | 25     |  0.014% | 
 | 391  | Golem              |  0.01413% | 343    |  0.154% | 300    |  0.170% | 
 | 392  | Whiscash           |  0.01372% | 68     |  0.031% | 59     |  0.034% | 
 | 393  | Volbeat            |  0.01356% | 197    |  0.089% | 167    |  0.095% | 
 | 394  | Turtonator         |  0.01337% | 298    |  0.134% | 248    |  0.141% | 
 | 395  | Drifblim           |  0.01301% | 130    |  0.059% | 92     |  0.052% | 
 | 396  | Passimian          |  0.01240% | 240    |  0.108% | 145    |  0.082% | 
 | 397  | Beartic            |  0.01239% | 107    |  0.048% | 86     |  0.049% | 
 | 398  | Delibird           |  0.01237% | 40     |  0.018% | 35     |  0.020% | 
 | 399  | Meganium           |  0.01184% | 118    |  0.053% | 81     |  0.046% | 
 | 400  | Croagunk           |  0.01181% | 70     |  0.032% | 41     |  0.023% | 
 | 401  | Gorebyss           |  0.01176% | 40     |  0.018% | 32     |  0.018% | 
 | 402  | Rattata            |  0.01172% | 134    |  0.060% | 99     |  0.056% | 
 | 403  | Crabominable       |  0.01132% | 166    |  0.075% | 115    |  0.065% | 
 | 404  | Hitmonchan         |  0.01111% | 223    |  0.100% | 178    |  0.101% | 
 | 405  | Jynx               |  0.01110% | 248    |  0.112% | 196    |  0.111% | 
 | 406  | Pineco             |  0.01109% | 95     |  0.043% | 76     |  0.043% | 
 | 407  | Cottonee           |  0.01099% | 97     |  0.044% | 81     |  0.046% | 
 | 408  | Lopunny            |  0.01089% | 157    |  0.071% | 107    |  0.061% | 
 | 409  | Absol              |  0.01080% | 170    |  0.077% | 110    |  0.063% | 
 | 410  | Wobbuffet          |  0.01054% | 123    |  0.055% | 91     |  0.052% | 
 | 411  | Luxray             |  0.01033% | 274    |  0.123% | 207    |  0.118% | 
 | 412  | Shiftry            |  0.01032% | 88     |  0.040% | 57     |  0.032% | 
 | 413  | Oranguru           |  0.01028% | 103    |  0.046% | 81     |  0.046% | 
 | 414  | Dunsparce          |  0.00995% | 114    |  0.051% | 77     |  0.044% | 
 | 415  | Bouffalant         |  0.00990% | 57     |  0.026% | 39     |  0.022% | 
 | 416  | Corsola            |  0.00970% | 74     |  0.033% | 62     |  0.035% | 
 | 417  | Garbodor           |  0.00964% | 64     |  0.029% | 53     |  0.030% | 
 | 418  | Persian            |  0.00960% | 90     |  0.041% | 66     |  0.038% | 
 | 419  | Granbull           |  0.00953% | 168    |  0.076% | 126    |  0.072% | 
 | 420  | Purugly            |  0.00953% | 88     |  0.040% | 78     |  0.044% | 
 | 421  | Eevee              |  0.00939% | 127    |  0.057% | 104    |  0.059% | 
 | 422  | Arbok              |  0.00919% | 103    |  0.046% | 84     |  0.048% | 
 | 423  | Primeape           |  0.00918% | 261    |  0.118% | 172    |  0.098% | 
 | 424  | Wailord            |  0.00879% | 90     |  0.041% | 69     |  0.039% | 
 | 425  | Mawile             |  0.00866% | 70     |  0.032% | 47     |  0.027% | 
 | 426  | Wormadam-Sandy     |  0.00858% | 22     |  0.010% | 18     |  0.010% | 
 | 427  | Raticate           |  0.00841% | 59     |  0.027% | 45     |  0.026% | 
 | 428  | Musharna           |  0.00837% | 89     |  0.040% | 76     |  0.043% | 
 | 429  | Gurdurr            |  0.00814% | 34     |  0.015% | 30     |  0.017% | 
 | 430  | Abomasnow          |  0.00813% | 93     |  0.042% | 75     |  0.043% | 
 | 431  | Dragonair          |  0.00811% | 30     |  0.014% | 21     |  0.012% | 
 | 432  | Oricorio-Pom-Pom   |  0.00789% | 24     |  0.011% | 23     |  0.013% | 
 | 433  | Barbaracle         |  0.00759% | 180    |  0.081% | 139    |  0.079% | 
 | 434  | Swoobat            |  0.00745% | 118    |  0.053% | 74     |  0.042% | 
 | 435  | Hypno              |  0.00734% | 220    |  0.099% | 195    |  0.111% | 
 | 436  | Manectric          |  0.00729% | 75     |  0.034% | 62     |  0.035% | 
 | 437  | Silvally-Electric  |  0.00697% | 20     |  0.009% | 16     |  0.009% | 
 | 438  | Kangaskhan         |  0.00683% | 75     |  0.034% | 63     |  0.036% | 
 | 439  | Muk                |  0.00678% | 270    |  0.122% | 232    |  0.132% | 
 | 440  | Parasect           |  0.00666% | 203    |  0.091% | 172    |  0.098% | 
 | 441  | Rapidash           |  0.00665% | 53     |  0.024% | 38     |  0.022% | 
 | 442  | Walrein            |  0.00651% | 89     |  0.040% | 69     |  0.039% | 
 | 443  | Zebstrika          |  0.00646% | 128    |  0.058% | 105    |  0.060% | 
 | 444  | Silvally-Ground    |  0.00638% | 16     |  0.007% | 13     |  0.007% | 
 | 445  | Shiinotic          |  0.00623% | 87     |  0.039% | 63     |  0.036% | 
 | 446  | Sunflora           |  0.00606% | 46     |  0.021% | 32     |  0.018% | 
 | 447  | Wigglytuff         |  0.00588% | 161    |  0.072% | 142    |  0.081% | 
 | 448  | Oricorio-Sensu     |  0.00576% | 56     |  0.025% | 43     |  0.024% | 
 | 449  | Hippopotas         |  0.00574% | 56     |  0.025% | 48     |  0.027% | 
 | 450  | Ferroseed          |  0.00568% | 30     |  0.014% | 28     |  0.016% | 
 | 451  | Unfezant           |  0.00565% | 37     |  0.017% | 26     |  0.015% | 
 | 452  | Illumise           |  0.00553% | 91     |  0.041% | 71     |  0.040% | 
 | 453  | Simipour           |  0.00537% | 37     |  0.017% | 24     |  0.014% | 
 | 454  | Altaria            |  0.00537% | 68     |  0.031% | 57     |  0.032% | 
 | 455  | Seaking            |  0.00529% | 46     |  0.021% | 35     |  0.020% | 
 | 456  | Silvally-Fire      |  0.00514% | 72     |  0.032% | 60     |  0.034% | 
 | 457  | Bidoof             |  0.00510% | 93     |  0.042% | 54     |  0.031% | 
 | 458  | Clamperl           |  0.00489% | 8      |  0.004% | 7      |  0.004% | 
 | 459  | Misdreavus         |  0.00486% | 192    |  0.086% | 159    |  0.090% | 
 | 460  | Furfrou            |  0.00482% | 66     |  0.030% | 35     |  0.020% | 
 | 461  | Furret             |  0.00480% | 61     |  0.027% | 42     |  0.024% | 
 | 462  | Kricketune         |  0.00477% | 61     |  0.027% | 60     |  0.034% | 
 | 463  | Abra               |  0.00462% | 13     |  0.006% | 11     |  0.006% | 
 | 464  | Bastiodon          |  0.00458% | 58     |  0.026% | 53     |  0.030% | 
 | 465  | Silvally-Fairy     |  0.00443% | 36     |  0.016% | 22     |  0.013% | 
 | 466  | Gumshoos           |  0.00441% | 30     |  0.014% | 23     |  0.013% | 
 | 467  | Pachirisu          |  0.00430% | 96     |  0.043% | 86     |  0.049% | 
 | 468  | Purrloin           |  0.00422% | 21     |  0.009% | 17     |  0.010% | 
 | 469  | Simisear           |  0.00419% | 17     |  0.008% | 12     |  0.007% | 
 | 470  | Beautifly          |  0.00412% | 14     |  0.006% | 8      |  0.005% | 
 | 471  | Seviper            |  0.00412% | 32     |  0.014% | 25     |  0.014% | 
 | 472  | Pidgeot            |  0.00407% | 36     |  0.016% | 29     |  0.016% | 
 | 473  | Sudowoodo          |  0.00404% | 25     |  0.011% | 12     |  0.007% | 
 | 474  | Duosion            |  0.00389% | 10     |  0.005% | 9      |  0.005% | 
 | 475  | Bellossom          |  0.00377% | 157    |  0.071% | 108    |  0.061% | 
 | 476  | Silvally-Ghost     |  0.00359% | 104    |  0.047% | 55     |  0.031% | 
 | 477  | Kadabra            |  0.00356% | 5      |  0.002% | 4      |  0.002% | 
 | 478  | Mesprit            |  0.00351% | 132    |  0.059% | 116    |  0.066% | 
 | 479  | Pinsir             |  0.00350% | 90     |  0.041% | 61     |  0.035% | 
 | 480  | Tropius            |  0.00326% | 129    |  0.058% | 112    |  0.064% | 
 | 481  | Rotom-Fan          |  0.00325% | 48     |  0.022% | 38     |  0.022% | 
 | 482  | Dewgong            |  0.00321% | 57     |  0.026% | 45     |  0.026% | 
 | 483  | Togetic            |  0.00317% | 157    |  0.071% | 94     |  0.053% | 
 | 484  | Relicanth          |  0.00315% | 25     |  0.011% | 18     |  0.010% | 
 | 485  | Poipole            |  0.00313% | 61     |  0.027% | 49     |  0.028% | 
 | 486  | Octillery          |  0.00313% | 36     |  0.016% | 27     |  0.015% | 
 | 487  | Raticate-Alola     |  0.00308% | 59     |  0.027% | 44     |  0.025% | 
 | 488  | Banette            |  0.00289% | 52     |  0.023% | 40     |  0.023% | 
 | 489  | Cherrim            |  0.00286% | 30     |  0.014% | 17     |  0.010% | 
 | 490  | Silvally-Ice       |  0.00286% | 14     |  0.006% | 10     |  0.006% | 
 | 491  | Haunter            |  0.00285% | 94     |  0.042% | 68     |  0.039% | 
 | 492  | Drilbur            |  0.00275% | 7      |  0.003% | 5      |  0.003% | 
 | 493  | Onix               |  0.00274% | 157    |  0.071% | 145    |  0.082% | 
 | 494  | Charmander         |  0.00265% | 6      |  0.003% | 4      |  0.002% | 
 | 495  | Throh              |  0.00265% | 12     |  0.005% | 10     |  0.006% | 
 | 496  | Swadloon           |  0.00263% | 5      |  0.002% | 5      |  0.003% | 
 | 497  | Munchlax           |  0.00261% | 28     |  0.013% | 24     |  0.014% | 
 | 498  | Vullaby            |  0.00261% | 18     |  0.008% | 16     |  0.009% | 
 | 499  | Minun              |  0.00260% | 26     |  0.012% | 18     |  0.010% | 
 | 500  | Combee             |  0.00241% | 32     |  0.014% | 27     |  0.015% | 
 | 501  | Braixen            |  0.00241% | 13     |  0.006% | 13     |  0.007% | 
 | 502  | Roggenrola         |  0.00220% | 18     |  0.008% | 15     |  0.009% | 
 | 503  | Combusken          |  0.00218% | 124    |  0.056% | 81     |  0.046% | 
 | 504  | Ralts              |  0.00215% | 6      |  0.003% | 5      |  0.003% | 
 | 505  | Oricorio           |  0.00215% | 34     |  0.015% | 28     |  0.016% | 
 | 506  | Noctowl            |  0.00214% | 74     |  0.033% | 63     |  0.036% | 
 | 507  | Chimecho           |  0.00207% | 38     |  0.017% | 27     |  0.015% | 
 | 508  | Gastly             |  0.00206% | 12     |  0.005% | 10     |  0.006% | 
 | 509  | Silvally-Water     |  0.00205% | 18     |  0.008% | 16     |  0.009% | 
 | 510  | Chikorita          |  0.00199% | 6      |  0.003% | 5      |  0.003% | 
 | 511  | Fearow             |  0.00196% | 97     |  0.044% | 52     |  0.030% | 
 | 512  | Spinda             |  0.00195% | 17     |  0.008% | 15     |  0.009% | 
 | 513  | Salazzle-Totem     |  0.00193% | 10     |  0.005% | 6      |  0.003% | 
 | 514  | Oddish             |  0.00191% | 5      |  0.002% | 3      |  0.002% | 
 | 515  | Castform           |  0.00190% | 38     |  0.017% | 33     |  0.019% | 
 | 516  | Delcatty           |  0.00188% | 28     |  0.013% | 24     |  0.014% | 
 | 517  | Starly             |  0.00168% | 38     |  0.017% | 23     |  0.013% | 
 | 518  | Trapinch           |  0.00157% | 5      |  0.002% | 1      |  0.001% | 
 | 519  | Gothitelle         |  0.00153% | 36     |  0.016% | 25     |  0.014% | 
 | 520  | Electabuzz         |  0.00151% | 34     |  0.015% | 27     |  0.015% | 
 | 521  | Gourgeist-Large    |  0.00145% | 2      |  0.001% | 0      |  0.000% | 
 | 522  | Nosepass           |  0.00144% | 47     |  0.021% | 30     |  0.017% | 
 | 523  | Bayleef            |  0.00143% | 38     |  0.017% | 30     |  0.017% | 
 | 524  | Oricorio-Pa'u      |  0.00139% | 14     |  0.006% | 8      |  0.005% | 
 | 525  | Rowlet             |  0.00136% | 26     |  0.012% | 25     |  0.014% | 
 | 526  | Mightyena          |  0.00131% | 79     |  0.036% | 50     |  0.028% | 
 | 527  | Mareanie           |  0.00127% | 14     |  0.006% | 10     |  0.006% | 
 | 528  | Silvally-Dark      |  0.00124% | 7      |  0.003% | 6      |  0.003% | 
 | 529  | Bulbasaur          |  0.00122% | 124    |  0.056% | 104    |  0.059% | 
 | 530  | Solrock            |  0.00119% | 15     |  0.007% | 11     |  0.006% | 
 | 531  | Camerupt           |  0.00117% | 76     |  0.034% | 63     |  0.036% | 
 | 532  | Marill             |  0.00117% | 22     |  0.010% | 20     |  0.011% | 
 | 533  | Clefairy           |  0.00115% | 10     |  0.005% | 2      |  0.001% | 
 | 534  | Silvally-Psychic   |  0.00113% | 6      |  0.003% | 5      |  0.003% | 
 | 535  | Maractus           |  0.00113% | 12     |  0.005% | 10     |  0.006% | 
 | 536  | Piplup             |  0.00112% | 12     |  0.005% | 8      |  0.005% | 
 | 537  | Pichu              |  0.00110% | 18     |  0.008% | 14     |  0.008% | 
 | 538  | Lairon             |  0.00108% | 16     |  0.007% | 10     |  0.006% | 
 | 539  | Magikarp           |  0.00106% | 17     |  0.008% | 12     |  0.007% | 
 | 540  | Sneasel            |  0.00104% | 16     |  0.007% | 15     |  0.009% | 
 | 541  | Croconaw           |  0.00102% | 13     |  0.006% | 10     |  0.006% | 
 | 542  | Silvally-Flying    |  0.00101% | 11     |  0.005% | 8      |  0.005% | 
 | 543  | Beedrill           |  0.00099% | 61     |  0.027% | 47     |  0.027% | 
 | 544  | Basculin           |  0.00094% | 19     |  0.009% | 16     |  0.009% | 
 | 545  | Vanillish          |  0.00093% | 6      |  0.003% | 6      |  0.003% | 
 | 546  | Vulpix-Alola       |  0.00092% | 9      |  0.004% | 8      |  0.005% | 
 | 547  | Gloom              |  0.00089% | 3      |  0.001% | 3      |  0.002% | 
 | 548  | Wartortle          |  0.00085% | 4      |  0.002% | 4      |  0.002% | 
 | 549  | Buizel             |  0.00084% | 12     |  0.005% | 9      |  0.005% | 
 | 550  | Cosmog             |  0.00084% | 6      |  0.003% | 6      |  0.003% | 
 | 551  | Koffing            |  0.00082% | 6      |  0.003% | 5      |  0.003% | 
 | 552  | Silvally-Rock      |  0.00081% | 2      |  0.001% | 1      |  0.001% | 
 | 553  | Ledian             |  0.00080% | 18     |  0.008% | 16     |  0.009% | 
 | 554  | Cosmoem            |  0.00079% | 9      |  0.004% | 6      |  0.003% | 
 | 555  | Dewpider           |  0.00077% | 4      |  0.002% | 4      |  0.002% | 
 | 556  | Squirtle           |  0.00077% | 125    |  0.056% | 102    |  0.058% | 
 | 557  | Corphish           |  0.00076% | 130    |  0.059% | 106    |  0.060% | 
 | 558  | Kommo-o-Totem      |  0.00075% | 16     |  0.007% | 11     |  0.006% | 
 | 559  | Stunky             |  0.00073% | 1      |  0.000% | 0      |  0.000% | 
 | 560  | Rattata-Alola      |  0.00072% | 5      |  0.002% | 5      |  0.003% | 
 | 561  | Quilava            |  0.00071% | 32     |  0.014% | 26     |  0.015% | 
 | 562  | Sunkern            |  0.00069% | 4      |  0.002% | 4      |  0.002% | 
 | 563  | Ivysaur            |  0.00065% | 38     |  0.017% | 27     |  0.015% | 
 | 564  | Magmar             |  0.00062% | 11     |  0.005% | 5      |  0.003% | 
 | 565  | Glalie             |  0.00060% | 130    |  0.059% | 105    |  0.060% | 
 | 566  | Hakamo-o           |  0.00059% | 3      |  0.001% | 0      |  0.000% | 
 | 567  | Oshawott           |  0.00057% | 11     |  0.005% | 10     |  0.006% | 
 | 568  | Marowak-Alola-Totem |  0.00057% | 7      |  0.003% | 2      |  0.001% | 
 | 569  | Machoke            |  0.00056% | 4      |  0.002% | 3      |  0.002% | 
 | 570  | Meditite           |  0.00055% | 3      |  0.001% | 3      |  0.002% | 
 | 571  | Herdier            |  0.00054% | 4      |  0.002% | 2      |  0.001% | 
 | 572  | Torchic            |  0.00054% | 2      |  0.001% | 2      |  0.001% | 
 | 573  | Silvally-Fighting  |  0.00053% | 4      |  0.002% | 2      |  0.001% | 
 | 574  | Azurill            |  0.00051% | 10     |  0.005% | 10     |  0.006% | 
 | 575  | Caterpie           |  0.00050% | 4      |  0.002% | 4      |  0.002% | 
 | 576  | Gothita            |  0.00049% | 7      |  0.003% | 3      |  0.002% | 
 | 577  | Wormadam           |  0.00049% | 4      |  0.002% | 4      |  0.002% | 
 | 578  | Aipom              |  0.00049% | 43     |  0.019% | 39     |  0.022% | 
 | 579  | Metapod            |  0.00049% | 5      |  0.002% | 5      |  0.003% | 
 | 580  | Growlithe          |  0.00048% | 2      |  0.001% | 1      |  0.001% | 
 | 581  | Cleffa             |  0.00047% | 3      |  0.001% | 3      |  0.002% | 
 | 582  | Shroomish          |  0.00047% | 1      |  0.000% | 1      |  0.001% | 
 | 583  | Treecko            |  0.00047% | 13     |  0.006% | 8      |  0.005% | 
 | 584  | Dartrix            |  0.00046% | 1      |  0.000% | 1      |  0.001% | 
 | 585  | Vespiquen          |  0.00046% | 56     |  0.025% | 44     |  0.025% | 
 | 586  | Mudkip             |  0.00045% | 42     |  0.019% | 30     |  0.017% | 
 | 587  | Minccino           |  0.00044% | 8      |  0.004% | 5      |  0.003% | 
 | 588  | Phione             |  0.00043% | 2      |  0.001% | 2      |  0.001% | 
 | 589  | Lunatone           |  0.00041% | 14     |  0.006% | 13     |  0.007% | 
 | 590  | Flaaffy            |  0.00040% | 2      |  0.001% | 2      |  0.001% | 
 | 591  | Jigglypuff         |  0.00040% | 6      |  0.003% | 6      |  0.003% | 
 | 592  | Mothim             |  0.00039% | 3      |  0.001% | 3      |  0.002% | 
 | 593  | Carnivine          |  0.00039% | 2      |  0.001% | 2      |  0.001% | 
 | 594  | Electrike          |  0.00038% | 2      |  0.001% | 2      |  0.001% | 
 | 595  | Gourgeist-Small    |  0.00037% | 11     |  0.005% | 11     |  0.006% | 
 | 596  | Noibat             |  0.00037% | 2      |  0.001% | 2      |  0.001% | 
 | 597  | Lickitung          |  0.00034% | 22     |  0.010% | 17     |  0.010% | 
 | 598  | Psyduck            |  0.00033% | 79     |  0.036% | 64     |  0.036% | 
 | 599  | Heatmor            |  0.00032% | 18     |  0.008% | 14     |  0.008% | 
 | 600  | Huntail            |  0.00031% | 25     |  0.011% | 24     |  0.014% | 
 | 601  | Geodude-Alola      |  0.00031% | 124    |  0.056% | 90     |  0.051% | 
 | 602  | Grovyle            |  0.00028% | 89     |  0.040% | 58     |  0.033% | 
 | 603  | Wimpod             |  0.00028% | 1      |  0.000% | 1      |  0.001% | 
 | 604  | Silvally-Grass     |  0.00027% | 1      |  0.000% | 1      |  0.001% | 
 | 605  | Axew               |  0.00027% | 1      |  0.000% | 1      |  0.001% | 
 | 606  | Drowzee            |  0.00027% | 1      |  0.000% | 1      |  0.001% | 
 | 607  | Zorua              |  0.00027% | 1      |  0.000% | 0      |  0.000% | 
 | 608  | Diglett            |  0.00027% | 1      |  0.000% | 1      |  0.001% | 
 | 609  | Rockruff           |  0.00025% | 1      |  0.000% | 1      |  0.001% | 
 | 610  | Metang             |  0.00025% | 1      |  0.000% | 1      |  0.001% | 
 | 611  | Zigzagoon          |  0.00025% | 6      |  0.003% | 6      |  0.003% | 
 | 612  | Shelmet            |  0.00025% | 1      |  0.000% | 1      |  0.001% | 
 | 613  | Silvally-Bug       |  0.00024% | 1      |  0.000% | 1      |  0.001% | 
 | 614  | Tentacool          |  0.00024% | 1      |  0.000% | 1      |  0.001% | 
 | 615  | Pidgey             |  0.00024% | 1      |  0.000% | 1      |  0.001% | 
 | 616  | Yungoos            |  0.00023% | 6      |  0.003% | 5      |  0.003% | 
 | 617  | Sandshrew-Alola    |  0.00022% | 2      |  0.001% | 2      |  0.001% | 
 | 618  | Quilladin          |  0.00020% | 2      |  0.001% | 1      |  0.001% | 
 | 619  | Geodude            |  0.00020% | 1      |  0.000% | 1      |  0.001% | 
 | 620  | Totodile           |  0.00020% | 24     |  0.011% | 22     |  0.013% | 
 | 621  | Wynaut             |  0.00019% | 2      |  0.001% | 2      |  0.001% | 
 | 622  | Marshtomp          |  0.00019% | 7      |  0.003% | 7      |  0.004% | 
 | 623  | Chespin            |  0.00019% | 4      |  0.002% | 3      |  0.002% | 
 | 624  | Stantler           |  0.00019% | 23     |  0.010% | 22     |  0.013% | 
 | 625  | Yanma              |  0.00018% | 3      |  0.001% | 3      |  0.002% | 
 | 626  | Poochyena          |  0.00017% | 1      |  0.000% | 0      |  0.000% | 
 | 627  | Girafarig          |  0.00017% | 9      |  0.004% | 2      |  0.001% | 
 | 628  | Sandshrew          |  0.00016% | 6      |  0.003% | 6      |  0.003% | 
 | 629  | Bronzor            |  0.00016% | 2      |  0.001% | 2      |  0.001% | 
 | 630  | Gible              |  0.00014% | 8      |  0.004% | 8      |  0.005% | 
 | 631  | Pupitar            |  0.00013% | 16     |  0.007% | 12     |  0.007% | 
 | 632  | Slugma             |  0.00013% | 2      |  0.001% | 2      |  0.001% | 
 | 633  | Scatterbug         |  0.00013% | 5      |  0.002% | 5      |  0.003% | 
 | 634  | Swalot             |  0.00012% | 23     |  0.010% | 15     |  0.009% | 
 | 635  | Lampent            |  0.00010% | 1      |  0.000% | 1      |  0.001% | 
 | 636  | Panpour            |  0.00010% | 1      |  0.000% | 1      |  0.001% | 
 | 637  | Rhyhorn            |  0.00010% | 1      |  0.000% | 1      |  0.001% | 
 | 638  | Skiploom           |  0.00010% | 11     |  0.005% | 8      |  0.005% | 
 | 639  | Watchog            |  0.00009% | 10     |  0.005% | 7      |  0.004% | 
 | 640  | Porygon            |  0.00009% | 4      |  0.002% | 3      |  0.002% | 
 | 641  | Swablu             |  0.00009% | 2      |  0.001% | 1      |  0.001% | 
 | 642  | Magby              |  0.00009% | 2      |  0.001% | 0      |  0.000% | 
 | 643  | Buneary            |  0.00008% | 15     |  0.007% | 9      |  0.005% | 
 | 644  | Bonsly             |  0.00008% | 9      |  0.004% | 6      |  0.003% | 
 | 645  | Gourgeist          |  0.00007% | 8      |  0.004% | 5      |  0.003% | 
